,x_coord,y_coord,geometry,h_distance,Year,Elevation,sectionId
110,401836.86436113494,5755905.763097087,POINT (401836.8643611349 5755905.763097087),-1.8525896412829876,DTM_2018,78.76249694824219,Chainage 225
111,401836.9714459102,5755905.816185112,POINT (401836.9714459102 5755905.816185112),-1.733067728997094,DTM_2018,78.46428680419922,Chainage 225
112,401837.07853068545,5755905.869273137,POINT (401837.0785306855 5755905.869273137),-1.6135458167633505,DTM_2018,78.26444244384766,Chainage 225
113,401837.18561546074,5755905.9223611625,POINT (401837.1856154607 5755905.922361162),-1.4940239044774568,DTM_2018,78.05654907226562,Chainage 225
114,401837.292700236,5755905.975449188,POINT (401837.292700236 5755905.975449188),-1.3745019921915649,DTM_2018,77.95207977294922,Chainage 225
115,401837.3997850113,5755906.028537214,POINT (401837.3997850113 5755906.028537214),-1.2549800794920056,DTM_2018,77.9383316040039,Chainage 225
116,401837.5068697866,5755906.081625239,POINT (401837.5068697866 5755906.081625239),-1.135458167206112,DTM_2018,77.90782928466797,Chainage 225
117,401837.6139545618,5755906.134713264,POINT (401837.6139545618 5755906.134713264),-1.0159362549723703,DTM_2018,77.882080078125,Chainage 225
118,401837.7210393371,5755906.187801289,POINT (401837.7210393371 5755906.187801289),-0.8964143426864748,DTM_2018,77.872802734375,Chainage 225
119,401837.8281241124,5755906.240889315,POINT (401837.8281241124 5755906.240889315),-0.7768924304005811,DTM_2018,77.872802734375,Chainage 225
120,401837.9352088877,5755906.29397734,POINT (401837.9352088877 5755906.29397734),-0.6573705181146874,DTM_2018,77.84104919433594,Chainage 225
121,401838.0422936629,5755906.347065366,POINT (401838.0422936629 5755906.347065366),-0.5378486054672784,DTM_2018,77.83944702148438,Chainage 225
122,401838.1493784382,5755906.400153391,POINT (401838.1493784382 5755906.400153391),-0.4183266931813847,DTM_2018,77.83944702148438,Chainage 225
123,401838.2564632135,5755906.453241416,POINT (401838.2564632135 5755906.453241416),-0.298804780895491,DTM_2018,77.82599639892578,Chainage 225
124,401838.36354798876,5755906.506329441,POINT (401838.3635479888 5755906.506329441),-0.17928286860959908,DTM_2018,77.8219985961914,Chainage 225
125,401838.47063276405,5755906.559417467,POINT (401838.470632764 5755906.559417467),-0.05976095632370537,DTM_2018,77.81300354003906,Chainage 225
126,401838.5777175393,5755906.612505493,POINT (401838.5777175393 5755906.612505493),0.059760956323703596,DTM_2018,77.82111358642578,Chainage 225
127,401838.68480231456,5755906.665593518,POINT (401838.6848023146 5755906.665593518),0.1792828686095973,DTM_2018,77.84676361083984,Chainage 225
128,401838.79188708984,5755906.718681543,POINT (401838.7918870898 5755906.718681543),0.298804780895491,DTM_2018,77.85900115966797,Chainage 225
129,401838.8989718651,5755906.771769568,POINT (401838.8989718651 5755906.771769568),0.41832669318138294,DTM_2018,77.87750244140625,Chainage 225
130,401839.0060566404,5755906.8248575935,POINT (401839.0060566404 5755906.824857594),0.5378486054672784,DTM_2018,77.93290710449219,Chainage 225
131,401839.11314141564,5755906.87794562,POINT (401839.1131414156 5755906.87794562),0.6573705181146856,DTM_2018,77.9486312866211,Chainage 225
132,401839.2202261909,5755906.931033645,POINT (401839.2202261909 5755906.931033645),0.7768924304005793,DTM_2018,77.98456573486328,Chainage 225
133,401839.3273109662,5755906.98412167,POINT (401839.3273109662 5755906.98412167),0.896414342686473,DTM_2018,77.98456573486328,Chainage 225
134,401839.4343957415,5755907.037209695,POINT (401839.4343957415 5755907.037209695),1.015936254972365,DTM_2018,78.01742553710938,Chainage 225
135,401839.5414805167,5755907.09029772,POINT (401839.5414805167 5755907.09029772),1.1354581672061084,DTM_2018,78.05522155761719,Chainage 225
136,401839.648565292,5755907.143385746,POINT (401839.648565292 5755907.143385746),1.2549800794920056,DTM_2018,78.05522155761719,Chainage 225
137,401839.7556500673,5755907.196473772,POINT (401839.7556500673 5755907.196473772),1.374501992191563,DTM_2018,78.10075378417969,Chainage 225
138,401839.8627348426,5755907.249561797,POINT (401839.8627348426 5755907.249561797),1.4940239044774568,DTM_2018,78.14989471435547,Chainage 225
139,401839.96981961787,5755907.302649822,POINT (401839.9698196179 5755907.302649822),1.6135458167633505,DTM_2018,78.20822143554688,Chainage 225
140,401840.0769043931,5755907.355737847,POINT (401840.0769043931 5755907.355737847),1.733067728997094,DTM_2018,78.20822143554688,Chainage 225
141,401840.1839891684,5755907.4088258725,POINT (401840.1839891684 5755907.408825872),1.8525896412829876,DTM_2018,78.27519226074219,Chainage 225
142,401840.29107394366,5755907.461913899,POINT (401840.2910739437 5755907.461913899),1.9721115539825451,DTM_2018,78.34620666503906,Chainage 225
143,401840.39815871895,5755907.515001924,POINT (401840.3981587189 5755907.515001924),2.091633466268439,DTM_2018,78.35464477539062,Chainage 225
144,401840.50524349423,5755907.568089949,POINT (401840.5052434942 5755907.568089949),2.2111553785543325,DTM_2018,78.4355697631836,Chainage 225
145,401840.61232826946,5755907.621177974,POINT (401840.6123282695 5755907.621177974),2.330677290788076,DTM_2018,78.5174331665039,Chainage 225
146,401840.71941304475,5755907.674265999,POINT (401840.7194130447 5755907.674265999),2.4501992030739697,DTM_2018,78.62738037109375,Chainage 225
147,401840.82649782003,5755907.7273540255,POINT (401840.82649782 5755907.727354025),2.569721115773527,DTM_2018,78.62738037109375,Chainage 225
148,401840.9335825953,5755907.780442051,POINT (401840.9335825953 5755907.780442051),2.689243028059421,DTM_2018,78.7489013671875,Chainage 225
149,401841.0406673706,5755907.833530076,POINT (401841.0406673706 5755907.833530076),2.8087649403453145,DTM_2018,78.83673095703125,Chainage 225
150,401841.14775214583,5755907.886618101,POINT (401841.1477521458 5755907.886618101),2.928286852579058,DTM_2018,78.83673095703125,Chainage 225
151,401841.2548369211,5755907.939706126,POINT (401841.2548369211 5755907.939706126),3.0478087648649517,DTM_2018,78.96751403808594,Chainage 225
152,401841.3619216964,5755907.992794151,POINT (401841.3619216964 5755907.992794151),3.1673306771508454,DTM_2018,79.05199432373047,Chainage 225
153,401841.4690064717,5755908.045882178,POINT (401841.4690064717 5755908.045882178),3.2868525898504064,DTM_2018,79.13346862792969,Chainage 225
154,401841.5760912469,5755908.098970203,POINT (401841.5760912469 5755908.098970203),3.4063745020841463,DTM_2018,79.1869125366211,Chainage 225
155,401841.6831760222,5755908.152058228,POINT (401841.6831760222 5755908.152058228),3.52589641437004,DTM_2018,79.26730346679688,Chainage 225
156,401841.7902607975,5755908.205146253,POINT (401841.7902607975 5755908.205146253),3.6454183266559372,DTM_2018,79.34487915039062,Chainage 225
157,401841.89734557277,5755908.258234278,POINT (401841.8973455728 5755908.258234278),3.7649402389418274,DTM_2018,79.40421295166016,Chainage 225
158,401842.00443034805,5755908.311322304,POINT (401842.0044303481 5755908.311322304),3.8844621516413884,DTM_2018,79.48035430908203,Chainage 225
159,401842.1115151233,5755908.36441033,POINT (401842.1115151233 5755908.36441033),4.003984063875132,DTM_2018,79.55400848388672,Chainage 225
160,401842.21859989857,5755908.417498355,POINT (401842.2185998986 5755908.417498355),4.123505976161022,DTM_2018,79.6921615600586,Chainage 225
161,401842.32568467385,5755908.47058638,POINT (401842.3256846739 5755908.47058638),4.243027888446919,DTM_2018,79.6921615600586,Chainage 225
162,401842.43276944914,5755908.523674405,POINT (401842.4327694491 5755908.523674405),4.362549800732813,DTM_2018,79.75849151611328,Chainage 225
163,401842.5398542244,5755908.576762431,POINT (401842.5398542244 5755908.576762431),4.48207171343237,DTM_2018,79.89141082763672,Chainage 225
